City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Port-Aux-Francais,-49.35,70.2167,38.98,67,70,36.01,TF,broken clouds
1,Sabang,5.8933,95.3214,82.36,80,99,17.69,ID,overcast clouds
2,Blackmans Bay,-43.0167,147.3167,42.53,78,27,6.8,AU,scattered clouds
3,Saudarkrokur,65.7461,-19.6394,46.31,81,100,3.67,IS,overcast clouds
4,Manali,13.1667,80.2667,91.49,78,100,11.23,IN,overcast clouds
5,Waitangi,-43.9535,-176.5597,57.81,93,100,1.99,NZ,overcast clouds
6,Hawaiian Paradise Park,19.5933,-154.9731,69.31,94,75,5.75,US,light rain
7,Igarka,67.4667,86.5833,26.2,73,100,8.79,RU,overcast clouds
8,Tazovsky,67.4667,78.7,23.61,90,100,14.07,RU,overcast clouds
9,Puerto Ayora,-0.7393,-90.3518,79.56,95,89,7.0,EC,light rain
10,Grytviken,-54.2811,-36.5092,30.36,79,37,16.17,GS,light snow
11,College,64.8569,-147.8028,38.89,80,20,0.0,US,few clouds
12,Adamstown,-25.066,-130.1015,72.72,71,99,15.28,PN,overcast clouds
13,Tazacorte,28.629,-17.9293,72.57,79,20,18.41,ES,few clouds
14,Harlingen,26.1906,-97.6961,80.51,96,75,9.22,US,broken clouds
15,Klyuchi,52.2667,79.1667,79.16,22,0,12.33,RU,clear sky
16,Conceicao Do Araguaia,-8.2578,-49.2647,72.18,97,90,1.9,BR,overcast clouds
17,Yangjiang,21.85,111.9667,74.16,93,100,6.08,CN,heavy intensity rain
18,Usogorsk,63.4106,48.6872,35.08,49,100,13.42,RU,overcast clouds
19,Burayevo,55.8407,55.4083,49.68,31,82,17.13,RU,broken clouds
20,Vorgashor,67.5833,63.95,26.19,94,100,12.12,RU,light snow
21,Bartica,6.4,-58.6167,75.52,99,99,0.87,GY,overcast clouds
22,Daru,-9.0763,143.2092,80.91,90,99,15.66,PG,overcast clouds
23,Kurkino,53.4257,38.6582,45.12,41,43,7.23,RU,scattered clouds
24,Kuala Belait,4.5833,114.1833,87.96,76,89,8.9,BN,moderate rain
25,Papatowai,-46.5619,169.4708,50.94,95,50,4.47,NZ,scattered clouds
26,Albany,42.6001,-73.9662,49.3,81,4,3.0,US,clear sky
27,Lubango,-14.9172,13.4925,72.75,48,77,4.07,AO,broken clouds
28,Thompson,55.7435,-97.8558,39.36,75,0,5.75,CA,clear sky
